id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
106,45393.668407,233.24800000409596,2480,2487,0.4862831347026661,-0.3037610703477921,0.17784986071108694,0.8600048031332013,3d gaze,-2.4771468498303406,81.645875552206,141.08335748735547,45393.668407 45393.901655
107,45395.540036499995,122.61550000403076,2536,2539,0.5478181616205334,0.18779544865160586,0.6647066729150485,0.8112947523593903,3d gaze,21.00217038237714,77.13648816454517,342.94334092824454,45395.540036499995 45395.546737 45395.550705 45395.6021185 45395.662652
108,45395.7235955,123.69600000238279,2541,2545,0.55912944136919,0.21434203632673557,1.1909528853237346,0.830362856388092,3d gaze,37.129519007967154,99.3924952033309,482.57099356977955,45395.7235955 45395.785351 45395.8472915
109,45396.2771695,91.44100000412436,2558,2561,0.6488653842511313,0.2646053347308065,1.5090872625622453,0.812161389218393,3d gaze,454.5055142836556,421.3874310489139,2448.914074505542,45396.2771695 45396.2811485 45396.305931 45396.3361375 45396.3686105
110,45396.712073500006,160.6374999973923,2571,2576,0.6815790923777321,0.41402602615463485,0.2890477038403486,0.7687748670578003,3d gaze,128.02640504820508,34.10608279512604,550.8487722778237,45396.712073500006 45396.776502 45396.8091825 45396.872711
111,45397.389697000006,80.91899999999441,2591,2594,0.6867467637731353,0.4488387635133349,0.13569652089041753,0.7962162619829178,3d gaze,118.80362505444512,18.30712123171648,497.0118591190554,45397.389697000006 45397.470616000006
112,45397.9169715,181.96249999164138,2607,2613,0.689031279614386,0.5026414369969299,0.8813041325422416,0.8216783087575603,3d gaze,131.9683604449491,-0.8902593369344619,545.7455548315512,45397.9169715 45397.982224 45398.042593499995 45398.098933999994
113,45398.112403,100.0419999982114,2613,2616,0.7933144514424638,0.542023796395481,0.12505472352244904,0.7562813758850098,3d gaze,191.77819831840364,-15.455590613471415,510.8062947920142,45398.112403 45398.212445
114,45399.328395000004,181.86599999899045,2649,2655,0.6028268959672516,0.5184458551213241,0.0918249655449213,0.7561038434505463,3d gaze,69.5924703871687,-7.0222706548608045,528.7446302768526,45399.328395000004 45399.510261
115,45401.537418500004,122.52450000232784,2716,2719,0.6340648204771864,0.3136600022493542,0.9992082807933743,0.9225720566511154,3d gaze,85.86418372547777,66.83563683295971,498.5984929474282,45401.537418500004 45401.5669795 45401.598522 45401.659943000006
116,45402.034910999995,93.35450000071432,2731,2733,0.708188461453779,0.2904676226224347,0.8780030227795579,0.7931848603007653,3d gaze,203.99997087086447,114.92564105468584,762.4141763379295,45402.034910999995 45402.0669945 45402.128265499996
117,45402.152076,186.80200000380864,2734,2740,0.7145098300672349,0.09952446237227042,0.16074357851526072,0.8020557363828024,3d gaze,249.9577302438963,262.4928228204847,910.3530611403503,45402.152076 45402.275035 45402.338878
118,45402.544355,104.67700000299374,2746,2749,0.7804606352017123,0.35942660744545823,1.503171669267412,0.8625397086143494,3d gaze,330.368576589693,93.14337873047583,920.2732762088689,45402.544355 45402.649032
119,45403.262398,102.77050000149757,2767,2771,0.6771914643496375,0.5917886666484725,1.4968287963406393,0.8508482376734415,3d gaze,273.8550609916245,-80.71096002942268,1227.960784590706,45403.262398 45403.292986500004 45403.353484499996 45403.35754 45403.3612145 45403.3651685
120,45404.239594,122.89199999941047,2797,2800,0.6704445451693197,0.5925238215932002,1.0647867177047226,0.7770932171773638,3d gaze,394.83730967863266,-120.55142187818326,1809.782515752256,45404.239594 45404.299615 45404.362486
121,45404.919099,136.62050000129966,2817,2821,0.6165092287783844,0.39782173121766323,1.4702826873074166,0.8480648824105823,3d gaze,341.62824026710604,171.90468142517483,2303.091222970971,45404.919099 45405.0488915 45405.052675 45405.0557195
122,45405.059706,171.96600000170292,2821,2827,0.606587088363958,0.393865555338287,0.7144186272908964,0.877191088877532,3d gaze,223.25240331916856,123.86556751790158,1618.0433087350134,45405.059706 45405.0788145 45405.173370000004 45405.203445499996 45405.231672
123,45405.359121,197.73500000155764,2830,2836,0.6150641847391355,0.3950660143194455,1.3864703313995266,0.8704012930393219,3d gaze,196.7718119835322,100.94203290886145,1336.038866674518,45405.359121 45405.420806 45405.486547 45405.556856
124,45406.7407065,98.75150000152644,2872,2875,0.5571485283133095,0.3132485970178226,0.8387694151659519,0.8433237659931183,3d gaze,19.95743373513999,36.85223603848294,273.793119381277,45406.7407065 45406.774524 45406.806844000006 45406.839458
125,45407.695909,687.978000001749,2900,2921,0.8800153440197704,0.4032004292006623,1.3741541456681434,0.8863133273124696,3d gaze,90.7823404413194,13.008022054137452,186.64321949714466,45407.695909 45407.701348 45407.716441000004 45407.759698 45408.383887
126,45409.879165,127.52000000182306,2966,2970,0.6140068731348226,0.3113711458710305,0.04858861153131452,0.8070774291530958,3d gaze,21.957492187747462,20.43522530919347,150.46630697438917,45409.879165 45410.006685
127,45411.823650499995,102.74700000445591,3024,3027,0.6290617321907441,0.3310387401132814,1.004733143104233,0.9112705268991504,3d gaze,80.94202492797724,59.58435334090467,492.0738808353185,45411.823650499995 45411.9019235 45411.9263975
128,45411.944462,110.82200000237208,3028,3031,0.6942880134181093,0.44306874875326047,0.33299746112943274,0.813694179058075,3d gaze,246.2830469072395,40.59480218389706,990.3292216165847,45411.944462 45412.055284
129,45412.670655,188.19699999585282,3050,3055,0.7149634546922771,0.451201048004575,0.9419165599539996,0.803369383017222,3d gaze,213.91611524296727,27.31116330511196,777.4555940144534,45412.670655 45412.734409 45412.858852
130,45412.989335,123.61400000372669,3059,3063,0.6194856211848154,0.3695733402046025,0.9735819759598171,0.8924630649884543,3d gaze,120.88851702677084,74.22805164622524,790.4600793008863,45412.989335 45413.049828 45413.112949
131,45413.426263,185.81100000301376,3072,3078,0.5704843808742867,0.5343927139482663,0.21381257018717392,0.8082485496997833,3d gaze,71.93950849239727,-19.74530389922532,797.3787336280604,45413.426263 45413.612074000004
132,45413.76894,158.46800000144867,3083,3087,0.606540476745264,0.42291219018306725,1.503945798080689,0.9113964392727614,3d gaze,738.7306705533517,280.1424193931258,5107.911991602935,45413.76894 45413.8009155 45413.831952 45413.927408
133,45413.960644000006,93.34999999555293,3088,3091,0.6299989202653334,0.42545911861581986,0.5422414712137519,0.9238967100779215,3d gaze,321.5717181141258,104.63169332314654,1946.4613663719435,45413.960644000006 45413.992154499996 45414.053994
134,45414.148132,193.6204999947222,3094,3100,0.6413133189407912,0.3703894156759566,1.484354435384707,0.8295312012944903,3d gaze,247.8444748568582,127.91202454837955,1381.7988275530822,45414.148132 45414.1805435 45414.2138655 45414.2473395 45414.2801245 45414.3127075 45414.3417525
135,45414.408744,87.26849999948172,3102,3104,0.683905723881772,0.35262113726355143,1.126969604117686,0.8157783548037211,3d gaze,100.75098747826559,45.78752882479256,429.8118668645311,45414.408744 45414.412494000004 45414.4960125
136,45415.125912999996,95.43600000324659,3123,3126,0.5861094869940393,0.3059493697695673,0.7909163922398578,0.7870558053255081,3d gaze,37.42574446332223,47.40633752623506,339.73202468633986,45415.125912999996 45415.221349
137,45415.314973,195.5279999965569,3129,3135,0.7469585994577301,0.42395681585668354,0.8203683153699197,0.7759359627962112,3d gaze,103.3701428625225,17.905180073552607,327.0137001996088,45415.314973 45415.396342 45415.445298 45415.510501
138,45415.570938,319.2200000048615,3137,3146,0.7616323128515787,0.42048157422905225,0.5554613827465193,0.7294639050960541,3d gaze,109.07278373443977,18.647546724349,325.70411773348496,45415.570938 45415.890158
139,45416.649004,129.1780000028666,3169,3173,0.8469376257597827,0.35074848076968945,0.20155063854508767,0.7963932037029857,3d gaze,125.82032041691895,30.446560878090168,283.3284464334731,45416.649004 45416.778182
140,45416.969085,123.58700000186218,3179,3182,0.8052879004293357,0.36266678977929395,0.46589949090095095,0.9519155125755792,3d gaze,112.36752418581395,28.43367236507362,287.55934572310775,45416.969085 45417.092672
141,45417.156474,383.8039999973262,3184,3196,0.7690580443501521,0.3590496018462719,0.6241405452344779,0.9018288849062256,3d gaze,100.06580695562377,29.48780089782916,290.5619231870287,45417.156474 45417.540278
142,45417.733592000004,190.80699999904027,3202,3207,0.842660449029958,0.42334443123740084,1.3502469103293324,0.841961681842804,3d gaze,124.86650187397936,15.717411960895296,284.7060597288325,45417.733592000004 45417.857536 45417.924399
