start_timestamp,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z
2386647.453,16.57,229.96,1360.04
2386657.445,22.23,314.27,1831.85
2386667.436,22.8,329.12,1917.37
2386677.426,20.84,304.91,1786.18
2386687.417,18.85,288.03,1700.86
2386697.413,14.6,244.52,1451.9
2386707.405,15.35,259.12,1530.77
2386717.421,17.13,272.99,1610.16
2386727.416,14.98,222.5,1323.47
2386737.408,18.29,260.28,1532.66
2386747.405,22.0,312.09,1823.14
2386757.389,22.14,318.27,1856.18
2386767.381,28.93,411.76,2384.17
2386777.376,36.5,511.62,2941.45
2386787.368,43.76,613.76,3515.84
2386797.358,56.55,775.95,4431.5
2386807.348,71.15,953.37,5436.09
2386817.34,86.76,1146.34,6563.09
2386827.337,73.84,994.79,5749.79
2386837.322,64.27,864.26,5007.72
2386847.317,75.58,1040.01,5997.27
2386857.338,85.34,1231.21,7072.94
2386867.331,77.57,1142.27,6573.24
2386877.321,72.68,1110.04,6402.31
2386887.311,70.18,1124.55,6480.88
2386897.307,67.87,1121.46,6467.9
2386907.299,62.72,1086.16,6284.36
2386917.285,55.74,1085.92,6319.19
2386927.28,53.52,1183.3,6900.83
2386937.271,48.89,1251.94,7328.65
2386947.267,35.54,1078.73,6366.96
2386957.253,21.17,860.56,5154.08
2386967.274,15.77,820.17,4937.24
2386977.27,6.85,742.07,4508.53
2386987.263,1.54,713.87,4377.41
2386997.252,-4.24,640.31,3969.76
2387007.242,-7.18,531.27,3332.17
2387017.234,-15.47,624.21,3941.45
2387027.231,-19.07,691.42,4366.54
2387037.216,-28.07,725.53,4619.98
2387047.211,-37.93,819.21,5234.62
2387057.202,-42.68,789.91,5105.16
2387067.194,-49.13,793.7,5181.05
2387077.185,-51.5,753.41,4973.45
2387087.175,-59.25,744.22,4993.38
2387097.171,-62.75,727.37,4921.6
2387107.193,-59.39,609.33,4199.3
2387117.178,-48.44,475.74,3337.87
2387127.174,-51.53,482.38,3418.32
2387137.165,-55.03,504.03,3586.66
2387147.161,-45.47,415.46,3032.55
2387157.147,-37.23,372.66,2767.84
2387167.138,-32.55,275.77,2217.68
2387177.134,-69.81,332.49,2646.84
2387187.126,-1279.21,2355.03,14527.51
2387197.116,-2259.81,3932.0,23712.73
2387207.106,-894.75,1509.38,8997.27
2387217.097,-491.93,814.43,4776.83
2387227.093,-640.34,1079.32,6362.21
2387237.08,-581.73,982.46,5785.21
2387247.075,-430.7,721.25,4242.84
2387257.097,-525.74,878.2,5167.02
2387267.089,-624.56,1045.02,6139.44
2387277.078,-608.99,1014.22,5985.51
2387287.069,-612.95,1015.38,6035.12
2387297.065,-682.11,1124.42,6681.87
2387307.057,-879.98,1448.98,8594.52
2387317.042,-509.32,828.1,4959.34
2387327.038,77.77,-158.08,-816.64
2387337.03,-50.59,57.58,442.9
2387347.026,-44.89,48.05,388.89
2387357.01,-45.58,48.95,393.52
2387367.032,-31.64,24.81,248.21
2387377.027,-103.13,147.14,953.94
2387387.02,-219.74,358.82,2144.12
2387397.009,-414.16,660.82,4091.65
2387407.001,-544.14,812.29,5424.36
2387416.992,-515.16,710.88,5213.11
2387426.988,0.0,0.0,0.0
2387436.973,0.0,0.0,0.0
2387446.969,0.0,0.0,0.0
2387456.96,0.0,0.0,0.0
2387466.951,0.0,0.0,0.0
2387476.94,-487.38,286.59,5232.95
2387486.933,-217.37,-42.16,2820.75
2387496.927,-200.54,-19.87,2821.76
2387506.92,-193.96,-2.32,2821.07
2387516.936,-200.57,63.5,3111.48
2387526.93,-161.62,81.04,2533.3
2387536.922,-41.62,9.06,586.53
2387546.919,-33.17,54.12,545.75
2387556.905,-165.88,302.17,2900.74
2387566.894,-228.95,479.21,4211.57
2387576.891,-285.97,627.07,5351.55
2387586.883,-344.61,781.26,6691.79
2387596.873,-436.74,1027.11,8624.64
2387606.865,-447.51,1095.51,8784.77
2387616.885,-388.93,991.96,7876.65
2387626.882,-309.68,806.53,6534.32
2387636.868,-8.63,-74.26,-233.86
2387646.862,45.84,-141.43,-901.07
2387656.854,-190.62,814.22,5459.46
2387666.847,-240.89,1304.75,6805.08
2387676.836,-169.5,1491.86,6108.52
2387686.827,-132.97,1646.74,6068.76
2387696.823,-132.31,1733.67,6043.6
2387706.816,-130.54,1789.03,6027.03
2387716.799,-125.32,1806.1,6022.0
2387726.794,-121.82,1816.75,6018.81
2387736.787,-124.16,1833.38,6013.62
2387746.784,-124.22,1845.51,6009.75
2387756.8,-126.67,1851.44,6007.67
2387766.79,-129.57,1854.14,6006.53
2387776.786,-133.4,1858.03,6004.89
2387786.777,-134.79,1858.89,6004.15
2387796.768,-133.79,1857.46,6004.22
2387806.759,-133.22,1854.21,6004.86
2387816.75,-136.14,1855.06,6004.0
2387826.746,-138.02,1865.69,5999.88
2387836.731,-137.31,1865.23,5999.44
2387846.727,-137.24,1859.51,6000.68
2387856.718,-136.21,1870.79,6038.43
2387866.74,-125.33,1718.68,5545.5
2387876.73,-7.85,51.85,204.89
2387886.691,13.99,-191.26,-565.48
2387896.687,-19.56,274.39,924.7
2387906.709,-24.52,409.13,1358.33
2387916.695,-32.92,606.86,1993.21
2387926.69,-31.57,582.1,1915.64
2387936.681,-36.73,692.54,2279.95
2387946.677,-35.0,725.3,2390.47
2387956.663,-36.75,793.17,2618.92
2387966.653,-42.51,875.44,2904.85
2387976.65,-38.03,809.89,2702.75
2387986.641,-49.68,764.34,2553.87
2387996.631,-55.31,860.19,2880.71
2388006.653,79.41,1029.66,3446.7
2388016.648,131.55,351.76,1203.94
2388026.641,317.37,313.62,867.14
2388036.627,823.43,802.13,2095.87
2388046.622,985.52,856.84,2160.53
2388056.613,695.22,562.81,1407.78
2388066.609,1101.07,884.09,2222.76
2388076.595,1730.17,1402.54,3521.98
2388086.585,1920.44,1568.38,3939.9
2388096.581,1546.59,1260.48,3187.42
2388106.573,1206.71,979.47,2486.42
2388116.563,522.65,418.22,1060.88
2388126.553,364.36,291.59,737.32
2388136.546,775.93,634.17,1602.34
2388146.541,920.04,756.04,1916.46
2388156.557,1070.51,885.57,2252.29
2388166.553,1093.95,909.94,2315.85
2388176.544,961.82,798.75,2037.65
2388186.536,1026.77,853.21,2177.23
2388196.526,1439.66,1215.92,3104.61
2388206.517,1462.0,1249.65,3218.47
2388216.512,1201.42,1017.42,2653.93
2388226.504,1101.4,921.58,2436.52
2388236.49,1068.6,892.67,2354.51
2388246.484,930.35,778.22,2014.95
2388256.477,558.06,461.28,1181.89
2388266.473,337.69,269.67,696.61
2388276.489,144.12,101.34,281.31
2388286.48,127.67,89.29,247.11
2388296.475,425.21,349.27,895.01
2388306.467,414.91,338.18,872.25
2388316.457,203.43,152.02,408.56
2388326.448,138.15,111.68,289.32
2388336.439,207.0,190.71,497.41
2388346.435,266.11,287.74,757.07
2388356.421,450.28,528.52,1360.99
2388366.417,421.13,491.31,1268.5
2388376.407,218.98,244.6,634.08
2388386.4,210.87,236.06,604.62
2388396.39,336.49,386.77,987.92
2388406.411,377.27,436.36,1112.01
2388416.406,412.55,477.38,1216.69
2388426.398,431.3,495.25,1268.94
2388436.384,394.82,451.23,1157.48
2388446.379,415.93,477.42,1220.52
2388456.371,483.1,556.34,1422.35
2388466.366,548.27,630.94,1624.3
2388476.351,697.38,808.2,2077.38
2388486.343,716.34,828.72,2126.19
2388496.34,365.34,410.66,1071.91
2388506.331,113.85,208.48,610.02
2388516.32,58.47,264.41,805.0
2388526.311,-16.67,252.4,811.74
2388536.333,-72.05,239.91,812.18
2388546.329,-112.54,228.77,811.28
2388556.315,-127.34,223.98,810.8
2388566.309,-130.49,221.76,811.2
2388576.301,-129.96,219.95,812.19
2388586.294,-128.01,219.05,813.15
2388596.283,-125.86,218.5,814.06
2388606.274,-124.19,217.67,814.99
2388616.27,-123.39,217.03,815.72
2388626.261,-122.91,217.19,816.16
2388636.248,-123.94,222.01,833.27
2388646.243,-113.74,204.64,778.22
2388656.235,-65.99,108.56,441.47
2388666.23,-48.11,73.68,317.78
2388676.247,-29.57,38.23,177.68
2388686.237,-40.09,60.34,260.17
2388696.233,-94.81,138.25,660.07
2388706.224,-133.06,162.53,922.59
2388716.214,0.0,0.0,0.0
2388726.205,0.0,0.0,0.0
2388736.196,0.0,0.0,0.0
2388746.191,0.0,0.0,0.0
2388756.177,0.0,0.0,0.0
2388766.173,0.0,0.0,0.0
2388776.162,-123.45,-177.05,667.89
2388786.186,-66.35,-81.72,547.96
2388796.176,-43.64,-77.51,773.18
2388806.167,-77.96,-98.94,1461.48
2388816.163,-58.73,-55.69,1174.04
2388826.155,-39.62,-15.74,840.92
2388836.141,-49.92,7.45,1031.11
2388846.136,-88.94,72.07,1686.72
2388856.127,-132.15,164.74,2468.82
2388866.124,-132.18,215.79,2680.79
2388876.107,-144.0,254.4,2965.38
2388886.1,-127.89,213.19,2465.71
2388896.096,-116.67,198.03,2280.84
2388906.088,-126.56,235.27,2688.81
2388916.078,-129.28,240.18,2717.58
2388926.099,-122.49,225.24,2557.9
2388936.09,-123.41,228.42,2582.44
2388946.087,-138.27,255.39,2842.04
2388956.073,-122.59,226.57,2535.07
2388966.067,-105.11,195.92,2202.7
2388976.058,-108.84,205.09,2299.42
2388986.052,-112.37,213.87,2398.13
2388996.041,-110.06,209.73,2353.01
2389006.031,-100.52,189.95,2153.7
2389016.027,-132.35,274.1,3060.75
2389026.019,-184.91,403.36,4446.87
2389036.005,-164.53,351.13,3924.01
2389046.0,-114.4,234.5,2672.96
2389056.021,-128.85,263.4,3004.0
2389066.018,-145.28,296.84,3408.01
2389076.004,-144.78,292.83,3395.75
2389085.995,-150.46,301.4,3542.09
2389095.99,-135.4,272.22,3187.73
2389105.982,-118.33,239.51,2782.19
2389115.972,-111.17,221.77,2605.11
2389125.962,-97.11,187.87,2238.08
2389135.954,-106.6,209.19,2496.37
2389145.951,-116.54,230.13,2762.86
2389155.936,-118.64,239.29,2865.07
2389165.931,-122.98,255.35,2997.11
2389175.922,-88.46,216.36,2490.02
2389185.945,50.68,98.17,1361.18
2389195.935,101.15,42.14,1045.86
2389205.925,122.77,13.85,882.22
2389215.921,168.39,20.16,1165.94
2389225.913,207.62,27.61,1416.7
2389235.899,211.77,28.75,1429.86
2389245.894,186.72,22.92,1257.41
2389255.885,170.5,17.45,1152.06
2389265.883,169.96,17.12,1147.48
2389275.866,174.76,18.82,1195.25
2389285.859,173.55,18.14,1203.26
2389295.854,171.25,17.33,1189.02
2389305.876,166.05,16.87,1162.66
2389315.866,160.52,16.34,1121.79
2389325.857,153.96,15.09,1063.86
2389335.848,148.21,13.93,1037.86
2389345.845,153.53,16.23,1102.12
2389355.831,161.12,19.15,1128.43
2389365.825,169.42,17.71,1055.1
2389375.816,163.59,11.48,948.1
2389385.809,168.13,10.05,956.77
2389395.799,182.3,12.75,1032.6
2389405.79,193.1,15.14,1088.86
2389415.785,199.16,16.33,1123.78
2389425.776,201.34,16.98,1136.65
2389435.763,201.58,17.19,1137.49
2389445.758,200.22,16.81,1130.05
2389455.779,200.11,16.51,1130.0
2389465.776,203.66,17.01,1149.56
2389475.761,207.54,17.94,1171.4
2389485.752,210.13,18.92,1185.51
2389495.748,211.97,19.51,1193.79
2389505.741,205.55,18.7,1156.73
2389515.73,198.06,17.89,1112.82
2389525.72,199.26,18.48,1116.36
2389535.712,205.86,19.94,1151.81
2389545.708,195.43,19.35,1085.77
2389555.694,151.32,11.57,820.43
2389565.689,156.44,12.26,843.29
2389575.68,178.99,16.76,972.4
2389585.703,177.46,16.46,962.73
2389595.692,178.98,16.67,957.14
2389605.684,230.09,30.31,1224.5
2389615.679,256.44,45.31,1443.1
2389625.67,54.61,-2.32,327.87
2389635.657,-42.73,-4.16,259.82
2389645.651,-149.01,36.78,1071.52
2389655.644,-385.42,81.86,2139.72
2389665.64,-538.91,108.17,2791.33
2389675.625,-571.52,110.43,2905.02
2389685.616,-566.48,107.29,2863.96
2389695.611,-510.86,93.07,2593.6
2389705.634,-453.59,77.8,2316.2
2389715.624,-465.11,81.88,2394.88
2389725.614,-472.06,84.66,2442.79
2389735.606,-462.6,84.55,2401.12
2389745.602,-491.88,94.02,2565.25
2389755.588,-441.16,83.77,2323.39
2389765.582,-339.75,62.78,1817.16
2389775.573,-345.05,65.38,1849.5
2389785.568,-383.07,74.26,2052.04
2389795.557,-384.26,75.36,2045.31
2389805.547,-339.43,79.83,1731.3
2389815.542,-318.88,99.3,1566.04
2389825.565,-366.16,126.89,1784.61
2389835.551,-404.54,147.77,1963.81
2389845.546,-409.81,153.5,1986.4
2389855.538,-407.99,155.21,1974.75
2389865.534,-417.98,161.28,2021.87
2389875.518,-437.76,171.0,2115.93
2389885.509,-440.18,172.26,2124.14
2389895.505,-445.38,176.59,2141.63
2389905.499,-506.34,207.15,2424.9
2389915.487,-496.01,202.76,2385.48
2389925.478,-451.83,183.53,2183.09
2389935.47,-443.32,180.61,2148.02
2389945.466,-453.34,185.07,2203.54
2389955.483,-472.27,192.11,2303.48
2389965.477,-448.24,180.54,2196.19
2389975.467,-429.08,172.13,2104.05
2389985.461,-479.45,194.21,2368.58
2389995.451,-564.82,232.08,2818.47
2390005.441,-571.7,235.25,2848.78
2390015.436,-579.7,239.67,2877.42
