gidx,timestamp,pupil_center_left_x,pupil_center_left_y,pupil_center_left_z,pupil_center_right_x,pupil_center_right_y,pupil_center_right_z,pupil_diameter_left,pupil_diameter_right,gaze_direction_left_x,gaze_direction_left_y,gaze_direction_left_z,gaze_direction_right_x,gaze_direction_right_y,gaze_direction_right_z,gaze_position_x,gaze_position_y,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z
39084,2111729276,32.4,-19.2,-30.97,-30.48,-15.18,-32.37,4.29,4.71,-0.1198,-0.3933,0.9116,-0.0748,-0.3768,0.9233,0.5534,0.9847,-110.06,-456.82,1015.99
39085,2111739272,32.4,-18.91,-30.94,-30.48,-15.01,-32.57,3.78,4.39,-0.1087,-0.3086,0.945,-0.0752,-0.2848,0.9556,0.5496,0.8647,-102.81,-351.9,1040.5
39086,2111749258,32.22,-18.67,-31.04,-30.41,-14.44,-32.68,4.18,4.65,-0.1097,-0.2533,0.9611,-0.0749,-0.2406,0.9677,0.5496,0.7949,-138.73,-390.16,1427.03
39087,2111759253,32.37,-18.33,-31.19,-30.57,-14.2,-33.08,4.2,4.35,-0.1082,-0.1751,0.9786,-0.0628,-0.1834,0.981,0.5457,0.7158,-114.89,-258.97,1294.67
39088,2111769244,32.19,-18.19,-31.29,-30.44,-13.79,-32.99,4.57,4.57,-0.101,-0.132,0.9861,-0.0555,-0.1348,0.9893,0.5415,0.6626,-106.59,-199.14,1323.61
39089,2111779236,32.42,-18.11,-31.35,-30.63,-13.97,-33.01,4.28,4.48,-0.0969,-0.1208,0.9879,-0.0532,-0.111,0.9924,0.5397,0.6432,-99.92,-171.76,1297.42
39090,2111789225,32.23,-18.11,-31.36,-30.52,-13.75,-32.88,4.46,4.6,-0.0969,-0.103,0.99,-0.0522,-0.083,0.9952,0.5398,0.6207,-83.1,-120.61,1084.89
39091,2111799217,32.47,-18.08,-31.38,-30.67,-13.95,-32.98,4.31,4.56,-0.0998,-0.091,0.9908,-0.0514,-0.0774,0.9957,0.5405,0.6102,-88.14,-115.1,1136.83
39092,2111809212,32.25,-18.11,-31.37,-30.56,-13.75,-32.85,4.44,4.52,-0.1016,-0.0768,0.9919,-0.0589,-0.0822,0.9949,0.5433,0.6017,-115.99,-131.67,1414.13
39093,2111819204,32.5,-18.07,-31.4,-30.62,-14.05,-32.8,4.32,4.47,-0.1049,-0.0737,0.9918,-0.0642,-0.0695,0.9955,0.546,0.5927,-127.22,-124.59,1473.88
39094,2111829190,32.28,-18.1,-31.39,-30.56,-13.83,-32.73,4.37,4.47,-0.1038,-0.0553,0.9931,-0.0597,-0.0753,0.9954,0.5446,0.5889,-98.66,-95.42,1177.76
39095,2111839185,32.58,-18.04,-31.49,-30.57,-14.33,-32.5,4.29,4.36,-0.1084,-0.0489,0.9929,-0.0461,-0.07,0.9965,0.542,0.5878,-70.5,-71.1,887.76
39096,2111849177,32.32,-18.09,-31.42,-30.56,-13.99,-32.55,4.34,4.38,-0.106,-0.0386,0.9936,-0.0489,-0.0729,0.9961,0.5423,0.5858,-64.28,-62.89,804.32
39097,2111859174,32.62,-18.03,-31.52,-30.57,-14.4,-32.42,4.25,4.3,-0.1107,-0.042,0.993,-0.046,-0.067,0.9967,0.5428,0.5839,-66.87,-63.34,829.05
39098,2111869189,32.41,-18.24,-31.16,-30.57,-14.04,-32.49,4.18,4.33,-0.1062,-0.0367,0.9937,-0.0497,-0.0707,0.9963,0.5426,0.5833,-65.5,-61.83,815.09
39099,2111879180,32.68,-18.09,-31.42,-30.58,-14.41,-32.4,4.16,4.26,-0.1109,-0.0411,0.993,-0.0458,-0.0681,0.9966,0.5428,0.5846,-65.41,-62.47,810.96
39100,2111889175,32.45,-18.27,-31.12,-30.58,-14.06,-32.47,4.06,4.3,-0.1102,-0.0416,0.993,-0.0483,-0.0705,0.9963,0.5433,0.5857,-67.38,-64.42,825.13
39101,2111899167,32.72,-18.09,-31.41,-30.58,-14.43,-32.38,4.08,4.23,-0.1123,-0.043,0.9927,-0.0466,-0.0681,0.9966,0.5434,0.5854,-67.09,-63.85,820.72
39102,2111909158,32.46,-18.24,-31.12,-30.57,-14.05,-32.46,4.01,4.28,-0.1096,-0.0409,0.9931,-0.0479,-0.0697,0.9964,0.5431,0.5848,-67.12,-63.88,827.04
39103,2111919149,32.66,-18.1,-31.21,-30.57,-14.44,-32.36,3.93,4.2,-0.1116,-0.0464,0.9927,-0.0446,-0.0637,0.997,0.5426,0.5838,-68.87,-65.46,857.82
39104,2111929140,32.44,-18.23,-31.04,-30.57,-14.04,-32.46,3.94,4.22,-0.1064,-0.0418,0.9934,-0.0483,-0.0673,0.9966,0.5421,0.5821,-71.36,-67.11,897.68
39105,2111939136,32.63,-18.13,-31.08,-30.56,-14.43,-32.35,3.84,4.14,-0.1078,-0.0506,0.9929,-0.0454,-0.0579,0.9973,0.5416,0.5804,-75.8,-70.6,965.41
39106,2111949121,32.42,-18.22,-30.99,-30.56,-14.03,-32.46,3.88,4.16,-0.104,-0.0426,0.9937,-0.0483,-0.064,0.9968,0.5413,0.579,-75.94,-69.91,972.76
39107,2111959116,32.63,-18.13,-31.06,-30.55,-14.44,-32.32,3.81,4.08,-0.1075,-0.051,0.9929,-0.0447,-0.0537,0.9976,0.5413,0.5783,-75.29,-68.71,965.47
39108,2111969108,32.42,-18.21,-30.98,-30.56,-14.01,-32.45,3.86,4.1,-0.1052,-0.0424,0.9935,-0.0468,-0.061,0.997,0.5413,0.5775,-74.96,-67.72,961.63
39109,2111979130,32.63,-18.13,-31.06,-30.54,-14.46,-32.3,3.79,4.02,-0.1073,-0.0519,0.9929,-0.0448,-0.0489,0.9978,0.5413,0.5762,-75.14,-66.7,964.03
39110,2111989119,32.42,-18.2,-30.99,-30.55,-14.0,-32.45,3.84,4.03,-0.1057,-0.0411,0.9936,-0.0462,-0.0578,0.9973,0.5413,0.575,-74.93,-65.49,962.08
39111,2111999112,32.64,-18.12,-31.06,-30.54,-14.46,-32.29,3.78,3.96,-0.1075,-0.0517,0.9929,-0.0449,-0.0454,0.998,0.5414,0.5744,-74.35,-64.28,952.35
39112,2112009108,32.43,-18.17,-31.01,-30.55,-14.01,-32.43,3.8,3.97,-0.1065,-0.0403,0.9935,-0.0468,-0.0571,0.9973,0.5417,0.5743,-75.27,-64.54,957.98
